id,name,category,leetcode_url,leetcode_difficulty,status,first_completed,last_reviewed,next_review,review_count,difficulty_history,notes
89,Graph Valid Tree,Graphs,https://leetcode.com/problems/graph-valid-tree/,Medium,not_started,,,0,0,,
90,Number of Connected Components In An Undirected Graph,Graphs,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Medium,not_started,,,0,0,,
91,Redundant Connection,Graphs,https://leetcode.com/problems/redundant-connection/,Medium,not_started,,,0,0,,
92,Word Ladder,Graphs,https://leetcode.com/problems/word-ladder/,Hard,under_review,2025-09-25T07:22:07.159Z,2025-09-25T07:22:07.159Z,2025-09-26T07:00:00.000Z,1,medium,
93,Network Delay Time,Advanced Graphs,https://leetcode.com/problems/network-delay-time/,Medium,not_started,,,0,0,,
94,Reconstruct Itinerary,Advanced Graphs,https://leetcode.com/problems/reconstruct-itinerary/,Medium,not_started,,,0,0,,
95,Min Cost to Connect All Points,Advanced Graphs,https://leetcode.com/problems/min-cost-to-connect-all-points/,Medium,not_started,,,0,0,,
96,Swim In Rising Water,Advanced Graphs,https://leetcode.com/problems/swim-in-rising-water/,Medium,not_started,,,0,0,,
97,Alien Dictionary,Advanced Graphs,https://leetcode.com/problems/alien-dictionary/,Medium,not_started,,,0,0,,
98,Cheapest Flights Within K Stops,Advanced Graphs,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Medium,not_started,,,0,0,,
99,Climbing Stairs,1-D Dynamic Programming,https://leetcode.com/problems/climbing-stairs/,Easy,under_review,2025-09-07T06:14:25.495Z,2025-09-07T06:14:25.495Z,2025-09-07T07:00:00.000Z,1,easy,
100,Min Cost Climbing Stairs,1-D Dynamic Programming,https://leetcode.com/problems/min-cost-climbing-stairs/,Easy,under_review,2025-09-07T06:26:01.869Z,2025-09-07T06:26:01.869Z,2025-09-07T07:00:00.000Z,1,easy,
101,House Robber,1-D Dynamic Programming,https://leetcode.com/problems/house-robber/,Medium,under_review,2025-09-16T06:26:34.864Z,2025-09-16T06:26:34.864Z,2025-09-16T07:00:00.000Z,1,easy,
102,House Robber II,1-D Dynamic Programming,https://leetcode.com/problems/house-robber-ii/,Medium,under_review,2025-09-16T06:35:02.693Z,2025-09-16T06:35:02.693Z,2025-09-16T07:00:00.000Z,1,easy,
103,Longest Palindromic Substring,1-D Dynamic Programming,https://leetcode.com/problems/longest-palindromic-substring/,Medium,not_started,,,0,0,,
104,Palindromic Substrings,1-D Dynamic Programming,https://leetcode.com/problems/palindromic-substrings/,Medium,not_started,,,0,0,,
105,Decode Ways,1-D Dynamic Programming,https://leetcode.com/problems/decode-ways/,Medium,not_started,,,0,0,,
106,Coin Change,1-D Dynamic Programming,https://leetcode.com/problems/coin-change/,Medium,under_review,2025-09-16T05:52:38.729Z,2025-09-16T05:52:38.729Z,2025-09-16T07:00:00.000Z,1,easy,
107,Maximum Product Subarray,1-D Dynamic Programming,https://leetcode.com/problems/maximum-product-subarray/,Medium,not_started,,,0,0,,
108,Word Break,1-D Dynamic Programming,https://leetcode.com/problems/word-break/,Medium,not_started,,,0,0,,
109,Longest Increasing Subsequence,1-D Dynamic Programming,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,not_started,,,0,0,,
110,Partition Equal Subset Sum,1-D Dynamic Programming,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,not_started,,,0,0,,
111,Unique Paths,2-D Dynamic Programming,https://leetcode.com/problems/unique-paths/,Medium,under_review,2025-09-16T06:57:35.977Z,2025-09-16T06:57:35.977Z,2025-09-16T07:00:00.000Z,1,medium,Tricky python lists..
